subj item timing focus dist resp
A21 33 8sec unf dist 100
A21 48 8sec unf close 100
A21 37 8sec unf dist 100
A21 29 8sec unf dist 100
A21 25 8sec unf dist 100
A21 45 8sec unf dist 100
A21 27 8sec foc dist 100
A21 44 8sec unf close 100
A21 40 8sec unf close 100
A21 34 8sec foc close 100
B1 37 spr foc close 100
B1 33 spr foc close 100
B1 35 spr unf close 100
B1 51 spr unf close 100
B1 25 spr foc close 100
B1 50 spr foc dist 100
B1 52 spr unf dist 100
B1 27 spr unf close 100
B1 45 spr foc close 100
B1 29 spr foc close 100
B1 32 spr unf dist 100
B1 48 spr unf dist 100
B1 40 spr unf dist 100
B1 49 spr foc close 100
B1 41 spr foc close 100
B1 44 spr unf dist 100
B1 30 spr foc dist 100
B1 26 spr foc dist 100
B1 39 spr unf close 100
B1 28 spr unf dist 100
B1 38 spr foc dist 100
B1 42 spr foc dist 100
B1 47 spr unf close 100
B1 31 spr unf close 100
B1 36 spr unf dist 100
B1 46 spr foc dist 100
B1 34 spr foc dist 100
B1 43 spr unf close 100
B2 25 spr foc close 100
B2 47 spr unf close 100
B2 27 spr unf close 100
B2 46 spr foc dist 100
B2 41 spr foc close 100
B2 39 spr unf close 100
B2 42 spr foc dist 100
B2 33 spr foc close 100
B2 35 spr unf close 100
B2 38 spr foc dist 100
B2 28 spr unf dist 100
B2 32 spr unf dist 100
B2 44 spr unf dist 100
B2 48 spr unf dist 100
B2 26 spr foc dist 100
B2 50 spr foc dist 100
B2 49 spr foc close 100
B2 51 spr unf close 100
B2 52 spr unf dist 100
B2 43 spr unf close 100
B2 37 spr foc close 100
B2 40 spr unf dist 0
B2 31 spr unf close 100
B2 36 spr unf dist 100
B2 30 spr foc dist 100
B2 29 spr foc close 100
B2 45 spr foc close 100
B2 34 spr foc dist 100
B3 43 spr unf close 100
B3 48 spr unf dist 100
B3 27 spr unf close 100
B3 40 spr unf dist 100
B3 45 spr foc close 100
B3 50 spr foc dist 100
B3 36 spr unf dist 100
B3 31 spr unf close 100
B3 34 spr foc dist 100
B3 47 spr unf close 100
B3 38 spr foc dist 100
B3 25 spr foc close 100
B3 46 spr foc dist 100
B3 32 spr unf dist 100
B3 33 spr foc close 100
B3 35 spr unf close 100
B3 44 spr unf dist 100
B3 26 spr foc dist 100
B3 30 spr foc dist 100
B3 52 spr unf dist 100
B3 41 spr foc close 100
B3 51 spr unf close 100
B3 42 spr foc dist 100
B3 39 spr unf close 100
B3 37 spr foc close 100
B3 29 spr foc close 100
B3 49 spr foc close 100
B3 28 spr unf dist 100
